title,year,studio,archive_id,details_url,embed_url,download_url,video_filename,description,characters,age_range,runtime_minutes,public_domain_basis,public_domain_confidence,needs_legal_review,verified,calmness_score,visual_stimulation,audio_intensity,emotional_intensity,conflict_level,educational_value,bedtime_friendly,tags,ai_summary,id
Bonanza - The Last Viking,1860,Unknown,Bonanza_-_The_Last_Viking,https://archive.org/details/Bonanza_-_The_Last_Viking,https://archive.org/embed/Bonanza_-_The_Last_Viking,https://archive.org/download/Bonanza_-_The_Last_Viking/Bonanza_-_The_Last_Viking.mp4,Bonanza_-_The_Last_Viking.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,11
Bonanza - The Mill,1860,Unknown,Bonanza_The_Mill,https://archive.org/details/Bonanza_The_Mill,https://archive.org/embed/Bonanza_The_Mill,https://archive.org/download/Bonanza_The_Mill/Bonanza_The_Mill.mp4,Bonanza_The_Mill.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,12
Bonanza - The Mission,1860,Unknown,Bonanza-TheMission,https://archive.org/details/Bonanza-TheMission,https://archive.org/embed/Bonanza-TheMission,https://archive.org/download/Bonanza-TheMission/Bonanza_-_The_Mission_S02-E02.mp4,Bonanza_-_The_Mission_S02-E02.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,13
Bonanza - The Savage,1860,Unknown,Bonanza_-_The_Savage,https://archive.org/details/Bonanza_-_The_Savage,https://archive.org/embed/Bonanza_-_The_Savage,https://archive.org/download/Bonanza_-_The_Savage/Bonanza_-_The_Savage.mp4,Bonanza_-_The_Savage.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,14
Bonanza - The Spitfire,1860,Unknown,Bonanza_-_The_Spitfire,https://archive.org/details/Bonanza_-_The_Spitfire,https://archive.org/embed/Bonanza_-_The_Spitfire,https://archive.org/download/Bonanza_-_The_Spitfire/Bonanza_-_The_Spitfire.mp4,Bonanza_-_The_Spitfire.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,15
Bonanza - The Trail Gang,1860,Unknown,Bonanza_-_The_Trail_Gang,https://archive.org/details/Bonanza_-_The_Trail_Gang,https://archive.org/embed/Bonanza_-_The_Trail_Gang,https://archive.org/download/Bonanza_-_The_Trail_Gang/Bonanza_-_The_Trail_Gang.mp4,Bonanza_-_The_Trail_Gang.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,16
26 Men - The Recruit,1901,Unknown,26Men-TheRecruit,https://archive.org/details/26Men-TheRecruit,https://archive.org/embed/26Men-TheRecruit,https://archive.org/download/26Men-TheRecruit/26Men-TheRecruits01-e01.mp4,26Men-TheRecruits01-e01.mp4,"26 Men was a syndicated American western television series about the Arizona Rangers, an elite group commissioned in 1901 by the legislature of the Arizona Territory and limited, for financial reasons, to twenty-six active members. Russell Hayden was the producer of the series and the co-composer of the theme song. The series aired between October 15th, 1957 and June 30th, 1959, for a total of 78 episodes. ""The Recruit"" Season 1 Episode 1 Tristram Coffin, Kelo Henderson, Don Haggerty and William Fawcett starred in the premiere episode, entitled ""The Recruit"", in which Sam Miller, publisher of the Willcox Clarion in Willcox (spelled ""Wilcox"" in the series) in Cochise County. In the story line, Miller summons the Rangers, Fawcett and Henderson, for help. When the officers arrive, they find t","[""Unknown""]",4-8,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,72,medium,medium,low,low,medium,False,"[""musical""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,17
Metropolis 1927 English Version,1927,Unknown,Metropolis1927EnglishVersion,https://archive.org/details/Metropolis1927EnglishVersion,https://archive.org/embed/Metropolis1927EnglishVersion,https://archive.org/download/Metropolis1927EnglishVersion/Metropolis_1927_English_Version.mp4,Metropolis_1927_English_Version.mp4,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","[""Unknown""]",4-8,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,18
All public domain Looney Tunes and Merrie Melodies shorts,1929,Unknown,ltmm-publicdomain,https://archive.org/details/ltmm-publicdomain,https://archive.org/embed/ltmm-publicdomain,https://archive.org/download/ltmm-publicdomain/A%20Great%20Big%20Bunch%20of%20You%20%281932%29.ia.mp4,A Great Big Bunch of You (1932).ia.mp4,"CONTENT WARNING: The cartoons shown in this collection are products of their time. Some of these shorts depict some of the ethnic and racial prejudices that were commonplace in American society at their times. These depictions are wrong then and are wrong now. The cartoons here are presented in their unaltered forms. Due to some of the content depicted, some of these shorts are not suitable for younger viewers. This is a collection containing all Looney Tunes and Merrie Melodies cartoon shorts which have fallen in the public domain, meaning that they are free to use and distribute. Many of these shorts fell into the public domain after United Artists (the copyright holder of the pre-1948 Looney Tunes and Merrie Melodies shorts) failed to renew the copyright for those shorts. Black and whit","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""musical""]",A classic Unknown cartoon with high visual stimulation and high conflict.,19
The Phantom of the Opera (1929),1929,Unknown,ThePhantomOfTheOpera1929,https://archive.org/details/ThePhantomOfTheOpera1929,https://archive.org/embed/ThePhantomOfTheOpera1929,https://archive.org/download/ThePhantomOfTheOpera1929/thepaantomoftheopera1929_512kb.mp4,thepaantomoftheopera1929_512kb.mp4,"This is the most commonly available version of The Phantom of the Opera. It is a re-edit of the 1925 version and originally had a synchronized sound score. It is a DVD rip from the milestone edition, with the man with lantern sequence edited in. It is the best available print of the film from the UCLA film and television archives. The soundtrack is Symphony No. 8 in B minor, best known as the ""Unfinished Symphony"". It is not the best soundtrack for the film, but I was unsure whether or not the 1929 soundtrack is in the public domain. Staring Lon Chaney, Mary Philbin and Norman Kerry. Directed by Rupert Julian, Edward Sedgwick, and Lon Chaney. The original 1925 version can be found here: http://www.archive.org/details/ThePhantomOfTheOpera1925NewYorkGeneralReleasePrint_620","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""musical""]",A classic Unknown cartoon with high visual stimulation and high conflict.,20
Gulliver's Travels [720p],1939,Fleischer Studios,GulliversTravels720p_652,https://archive.org/details/GulliversTravels720p_652,https://archive.org/embed/GulliversTravels720p_652,https://archive.org/download/GulliversTravels720p_652/GulliversTravels.mp4,GulliversTravels.mp4,Gulliver's Travels (1939) is a public domain cartoon. This is a 720p scene rip (gullivers.travels.1939.720p.bluray.x264-cinefile) of the Blu-Ray. IMDB Link ~~~~ Watch movies on Youtube @ PDFREETV Watch movie trailers on Youtube @ TheTrailerArchive,"[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Fleischer Studios cartoon with medium visual stimulation and low conflict.,21
Dragnet The Big Betty,1946,Unknown,DragnetTheBigBetty,https://archive.org/details/DragnetTheBigBetty,https://archive.org/embed/DragnetTheBigBetty,https://archive.org/download/DragnetTheBigBetty/Dragnet%20-%20The%20Big%20Bar.mp4,Dragnet - The Big Bar.mp4,"Dragnet is an American television series, enacting the cases of a dedicated Los Angeles police Detective, Sergeant Joe Friday, and his partners. The series is a spin off from the radio play of the same name. Both shows take their names from the police term ""dragnet"", meaning a system of coordinated measures for apprehending criminals or suspects. The ominous, four-note introduction to the brass and tympani theme music (titled ""Danger Ahead"") is instantly recognizable (though its origins date to Miklós Rózsa's score for the 1946 film version of The Killers). After its success on radio Dragnet was popular enough to move to Television. More important was that it brought continuity between the television and radio series. Just before the show took its final commercial break, the show's announc","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""musical""]",A classic Unknown cartoon with high visual stimulation and high conflict.,22
''I Remember Mama'' - Mama's Bad Day,1950,Unknown,Mama1950,https://archive.org/details/Mama1950,https://archive.org/embed/Mama1950,https://archive.org/download/Mama1950/IRememberMama.ia.mp4,IRememberMama.ia.mp4,"Episode of the popular 50's TV series, ""Mama"" (AKA ""I Remember Mama""), starring Peggy Wood. This light-hearted Classic TV series was about a immigrant family in 1910's America. The shows mix of drama and Comedy proved popular with both the critics and the American public. Sadly, Most episodes of this show are lost. This is a kinescope of a 1950 episode, Complete with original Maxwell House Coffee commercials.","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,23
The Roy Rogers Show - Outlaw's Girl,1951,Unknown,TheRoyRogersShow-OutlawsGirl,https://archive.org/details/TheRoyRogersShow-OutlawsGirl,https://archive.org/embed/TheRoyRogersShow-OutlawsGirl,https://archive.org/download/TheRoyRogersShow-OutlawsGirl/The_Roy_Rogers_Show_-_Outlaws_Girl_512kb.mp4,The_Roy_Rogers_Show_-_Outlaws_Girl_512kb.mp4,"The Roy Rogers Show ws an American Western television series that broadcast 100 episodes on NBC for six seasons between December 30th, 1951 and June 9th, 1957. The show starred Roy Rogers as a ranch owner, Dale Evans as the proprietor of the Eureka Cafe in fictional Mineral City and Pat Brady as Royâs sidekick and Dale's cook. Brady's jeep Nellybelle had a mind of her own and often sped away driverless with Brady in frantic pursuit on foot. Animal stars were Roy's Palomino Trigger and his German Shepherd, Bullet, the Wonder Dog. The series featured traditional cowboys and cowgirls but worked contemporary touches such as automobiles, telephone, and electric lighting into the mix. Typical episodes followed the stars as they rescued the weak and helpless from the clutches of dishonest lawmen,","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,24
"23 Studio One Sentence Of Death August 17, 1953",1953,Unknown,23StudioOneSentenceOfDeathAugust171953,https://archive.org/details/23StudioOneSentenceOfDeathAugust171953,https://archive.org/embed/23StudioOneSentenceOfDeathAugust171953,https://archive.org/download/23StudioOneSentenceOfDeathAugust171953/23%20Studio%20One%20Sentence%20Of%20Death%20August%2017%2C%201953.mp4,"23 Studio One Sentence Of Death August 17, 1953.mp4","Studio One Sentence Of Death August 17, 1953 Uploaded By Sam's Classic TV & Sam's Retro TV Please Checkout My Free Youtube Channel & subscribe Were it not for the fact that James Dean as the alleged accused killer was in it, Sentence of Death would probably not mean much in the history of TV entertainment. Dean is the most memorable of the performances in a story that seems to be patched from various detective movies and TV shows. As the socialite who thinks Dean is not the killer, Betsy Palmer also should be commended for the various emotions she pulls throughout the hour. If you've seen various film noir pictures, you should be able to predict what happens in the end but I definitely won't reveal here. Included with vintage Westinghouse commercials. For James Dean's performance alone, th","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,25
Wagon Train - Alias Bill Hawks,1957,Unknown,WagonTrain-AliasBillHawks,https://archive.org/details/WagonTrain-AliasBillHawks,https://archive.org/embed/WagonTrain-AliasBillHawks,https://archive.org/download/WagonTrain-AliasBillHawks/WagonTrain-AliasBillHawks_512kb.mp4,WagonTrain-AliasBillHawks_512kb.mp4,"Wagon Train was a popular western series that ran on both NBC and ABC from September 18th, 1957 through May 2nd, 1965, for a total of 284 episodes. The show chronicled the trials and tribulations of pioneering families as they set out from the East to carve out a new life in the West in a wagon train making it's way from Missouri to California. It was set just a few years after The Civil War. For some of the travellers it was a happy ending, but not for all, which only heightened the drama along the way. Many times the train would have to ""circle the wagons"" to defend itself against Indian attacks. ""Alias Bill Hawks"" Season 6 Episode 34 Bill Hawks travels to a desert town to visit an old friend, an Indian who has a ranch there. However, upon arriving on his friend's property, he discovers ","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,26
